26960,12,1.34,2.89,0.08,0,0.081,0.225,0.008,0.00032
1800,69,1.18,0.49,0.049,5.9,0.039,0.059,0,0.0003
0,0,0,0,0,0,0,0,0,0
23760,685,0.76,3.07,0.042,0,0.015,0.375,0.018,0.00083
3370,122,0.03,0.42,0.013,0,0.045,0.182,0.005,0.0005
760,103,0.08,0.43,0.003,0.1,0.042,0.14,0.002,0.00018
0,0,0,0,0,0,0,0,0,0
32540,18,10.32,6.27,0.422,8.7,0.097,1.524,0.379,0.01331
850,47,0.06,0.13,0.004,0.1,0.036,0.158,0.001,0.00028
1440,44,0.98,0.52,0.08,10,0.066,0.092,0,0
20270,11,0.79,0.93,0.04,0,0.059,0.086,0.004,0.00034
15690,351,0.19,1.5,0.036,0,0.04,0.265,0.035,0.00095
0,1,0.15,0.04,0,0,0,0,0,0
4290,86,0.26,0.6,0.254,0,0.111,0.146,0.006,0.00005
24410,700,0.23,3.5,0.026,0,0.061,0.359,0.02,0.0021
410,13,0.26,0.07,0.019,0.4,0.02,0,0,0
26750,14,1.49,2.52,0.089,0,0.094,0.243,0.008,0.0003
1400,41,1.18,0.53,0.046,5.6,0.07,0.1,0,0.00013
18130,1045,0.63,2.49,0.046,0,0.015,0.234,0.008,0.0015
4290,30,0.09,0.21,0.09,0,0.039,0.052,0.002,0.00002
200,7,0.2,0.06,0,80.9,0.01,0.022,0.002,0
6810,261,0.19,0.77,0.016,1.9,0.047,0.316,0.008,0.00016
6090,661,7.06,1.01,0.553,39.2,0.101,0.063,0.036,0
7910,284,0.19,0.94,0.015,2.6,0.09,0.416,0.011,0.00044
200,5,0.17,0.03,0.051,1.1,0.007,0.011,0,0.00001
220,3,0,0,0,0.1,0,0,0.001,0.00008
0,0,0.05,0.01,0,0,0,0,0,0
4930,171,0.07,0.83,0.013,0.8,0.042,0.201,0.011,0.00053
3140,66,0.21,0.4,0.02,0.1,0.038,0.076,0.005,0.00027
12810,64,3.85,1.41,0.062,0,0.156,0.404,0.08,0.0054
24840,20,1.25,0.95,0.06,0,0.115,0.146,0.006,0.0003
13700,83,0.92,2.4,0.148,1.5,0.008,0.181,0.011,0.0013
1800,69,1.18,0.49,0.049,5.9,0.039,0.059,0,0.0003
2170,69,0.03,0.25,0.007,0.6,0.024,0.125,0.004,0.0002
22500,5,0.37,0.68,0.037,0,0.094,0.177,0.009,0.00021
3150,113,0.03,0.37,0.025,0,0.046,0.169,0.005,0.00045
2440,10,0.41,0.6,0.05,0.1,0.035,0.035,0.004,0.00019
0,0,0,0,0,0,0,0,0,0
28570,17,1.99,2.36,0.1,0.5,0.088,0.278,0.029,0.00111
1380,54,1.18,0.66,0.05,7.9,0.052,0.092,0,0.00019
1010,0,0,0.23,0.094,18.2,0.028,0.058,0.02,0
1470,33,0.29,0.3,0.019,0.1,0.031,0.009,0.002,0.00004
7600,32,3,0.53,0.074,5.5,0.499,0.429,0.01,0.00007
14600,73,1.56,1.01,0.045,1.7,0.017,0.197,0.011,0.0004
370,0,0,0.07,0.019,0,0.008,0,0,0.00012
3330,88,1.75,0.88,0.148,7.6,0.148,0.176,0,0.00057
3100,101,0.05,0.38,0.01,0.9,0.02,0.105,0.005,0.00036
0,0,0,0,0,0,0,0,0,0
1070,24,0.36,0.29,0.04,2.1,0.043,0.021,0.009,0.00002
26780,15,1.66,2.16,0.08,0.5,0.063,0.224,0.029,0.00094
1780,133,1.37,0.68,0.051,8.2,0.055,0.096,0,0.00021
600,15,0.33,0.1,0.062,0.8,0.022,0.083,0.001,0
31800,1064,0.77,2.58,0.03,0,0.037,0.37,0.007,0.00112
15600,920,9.5,5.7,0.36,57,0.38,0.43,0,0.00142
